,True Labels,Predicted Labels
0,1,1
1,2,2
2,3,3
3,4,4
4,5,5
5,3,3
6,5,5
7,5,5
8,3,3
9,4,4
10,3,1
11,1,1
12,2,2
13,1,1
14,1,1
15,4,4
16,2,2
17,1,1
18,0,0
19,2,2
20,5,5
21,2,2
22,0,0
23,3,5
24,1,1
25,0,0
26,3,3
27,0,0
28,1,1
29,0,0
30,1,1
31,0,0
32,2,2
33,0,0
34,5,3
35,0,0
36,3,3
37,3,3
38,2,2
39,2,2
40,0,0
41,2,2
42,5,5
43,3,3
44,1,1
45,4,4
46,5,5
47,3,3
48,1,1
49,5,5
50,1,1
51,0,0
52,3,3
53,0,0
54,5,5
55,2,2
56,1,1
57,5,5
58,1,1
59,1,1
60,2,2
61,1,1
62,4,4
63,4,2
64,3,3
65,0,0
66,1,1
67,5,5
68,0,0
69,2,2
70,5,5
71,0,0
72,3,3
73,2,2
74,4,4
75,3,3
76,1,1
77,2,2
78,0,0
79,5,5
80,5,5
81,5,3
82,1,1
83,4,4
84,1,1
85,4,4
86,5,5
87,0,0
88,1,1
89,0,0
90,0,0
91,0,0
92,4,4
93,0,0
94,0,0
95,1,1
96,0,0
97,0,0
98,4,4
99,4,4
100,1,1
101,3,3
102,0,0
103,4,4
104,2,2
105,3,3
106,3,3
107,1,1
108,2,2
109,0,0
110,1,1
111,0,0
112,4,4
113,3,3
114,1,1
115,0,0
116,5,5
117,2,2
118,1,1
119,4,4
120,5,5
121,0,0
122,5,5
123,0,0
124,3,3
125,4,4
126,5,5
127,4,4
128,2,2
129,0,0
130,2,2
131,1,1
132,0,0
133,3,3
134,2,2
135,2,2
136,2,2
137,4,4
138,1,1
139,2,2
140,3,3
141,0,0
142,4,4
143,0,0
144,5,5
145,1,1
146,4,4
147,2,2
148,0,0
149,5,3
150,0,0
151,1,1
152,5,5
153,1,1
154,5,5
155,0,0
156,0,0
157,1,1
158,1,1
159,0,0
160,1,1
161,4,4
162,2,2
163,0,0
164,0,0
165,0,0
166,5,5
167,5,5
168,0,0
169,2,2
170,4,4
171,2,2
172,1,1
173,1,1
174,2,2
175,3,3
176,1,1
177,5,5
178,4,4
179,3,3
180,5,5
181,2,2
182,2,2
183,2,2
184,5,5
185,0,0
186,5,5
187,5,3
188,5,5
189,3,3
190,0,0
191,2,2
192,3,3
193,4,4
194,2,2
195,5,5
196,4,4
197,5,5
198,3,3
199,0,0
200,4,4
201,5,5
202,0,0
203,1,1
204,4,4
205,2,2
206,1,1
207,1,1
208,2,2
209,2,2
210,5,5
211,0,0
212,5,5
213,5,5
214,5,5
215,0,0
216,5,5
217,4,4
218,1,1
219,0,0
220,0,0
221,4,4
222,5,5
223,5,3
224,4,4
225,1,1
226,1,1
227,0,0
228,0,0
229,1,1
230,3,3
231,0,0
232,4,4
233,2,2
234,0,0
235,0,0
236,1,1
237,3,3
238,5,5
239,4,4
240,1,1
241,1,1
242,0,0
243,0,0
244,0,0
245,0,0
246,3,5
247,4,4
248,5,5
249,0,0
250,4,3
251,0,0
252,1,1
253,4,4
254,3,5
255,5,5
256,1,1
257,3,3
258,0,0
259,2,2
260,0,0
261,1,1
262,2,2
263,0,0
264,0,0
265,4,4
266,3,3
267,0,0
268,2,2
269,1,1
270,5,5
271,4,4
272,3,3
273,0,0
274,5,5
275,1,1
276,3,3
277,3,3
278,0,0
279,2,2
280,3,3
281,1,1
282,4,4
283,4,4
284,4,4
285,2,2
286,5,3
287,4,4
288,4,4
289,0,0
290,4,4
291,2,2
292,1,1
293,3,3
294,4,4
295,5,5
296,4,4
297,4,4
298,3,3
299,0,0
300,5,3
301,5,5
302,3,3
303,5,5
304,2,2
305,2,2
306,5,5
307,0,0
308,1,1
309,0,0
310,0,0
311,1,1
312,0,0
313,4,4
314,1,1
315,4,4
316,1,1
317,2,2
318,3,3
